Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-4211.339	-4766.999	555.6596	0.6063777	0.557887	0.199677	0.089886	0.15255	1.454658	2.594179	0.3529501	0.219186	0.625591	0.116989	0.0382339
6	-4219.08	-4774.048	554.9677	0.7605989	0.492868	0.171256	0.077092	0.258784	1.322266	3.01941	0.2796451	0.340337	0.537039	0.100429	0.0221947
12	-4203.742	-4758.479	554.7371	0.7240461	0.480038	0.241351	0.0574662	0.221144	1.246356	3.112293	0.5226604	0.25003	0.618335	0.115632	0.0160035
18	-4218.186	-4772.883	554.6965	0.6908451	0.476618	0.228702	0.0413588	0.253322	1.215508	3.134305	0.5900888	0.399539	0.468647	0.115789	0.0160251
24	-4234.029	-4787.204	553.1747	0.6265668	0.475887	0.266731	0.146891	0.110491	1.185412	4.016393	0.6882946	0.351484	0.363985	0.191693	0.0928382
30	-4211.263	-4765.944	554.6808	0.6005805	0.501897	0.281309	0.154919	0.0618758	1.209251	3.142412	0.6882946	0.405526	0.336947	0.150415	0.107112
36	-4222.186	-4777.346	555.1603	0.6005805	0.48193	0.270117	0.148756	0.0991973	1.255292	2.8701	0.6206827	0.57726	0.168089	0.214113	0.0405375
42	-4222.275	-4777.25	554.9753	0.5849871	0.466537	0.268618	0.166601	0.0982444	1.296105	2.883705	0.7511028	0.527756	0.332754	0.0924518	0.047038
48	-4226.022	-4781.851	555.829	0.6701079	0.546122	0.211133	0.173268	0.069478	1.590321	2.119981	0.7342189	0.449739	0.365483	0.101367	0.0834115
54	-4223.412	-4778.521	555.1096	0.7645617	0.606421	0.120921	0.234697	0.0379612	1.501822	2.313482	1.136534	0.606106	0.192285	0.136611	0.0649984
60	-4217.541	-4772.91	555.3693	0.7909497	0.556289	0.189178	0.13213	0.122403	1.452675	2.421064	0.734504	0.518526	0.323159	0.141568	0.0167475
66	-4236.555	-4793.168	556.6127	0.7180543	0.609663	0.168861	0.144807	0.076669	1.632799	1.619534	0.5966778	0.460124	0.309607	0.217976	0.0122936
72	-4213.959	-4769.779	555.8207	0.579312	0.561077	0.212475	0.184319	0.0421288	1.748027	2.098189	0.7148608	0.568728	0.240513	0.181508	0.00925063
78	-4213.329	-4769.604	556.2754	0.4853368	0.528175	0.218814	0.211353	0.0416581	1.634752	2.008921	0.6102074	0.516096	0.310799	0.164711	0.00839454
84	-4232.474	-4788.735	556.2606	0.624325	0.531258	0.23897	0.212586	0.0171859	1.633699	2.008921	0.4862587	0.27834	0.567273	0.132574	0.0218126
90	-4216.765	-4772.526	555.7605	0.706652	0.508833	0.165829	0.212456	0.112881	1.610251	2.267412	0.5267079	0.275742	0.615054	0.0829155	0.0262883
96	-4215.186	-4771.48	556.2939	0.706652	0.499282	0.147723	0.19924	0.153756	1.580535	1.985299	0.4532179	0.195958	0.693556	0.0603526	0.050133
102	-4210.394	-4764.602	554.2081	0.8593134	0.704312	0.0859208	0.13242	0.0773475	1.374867	3.171372	0.6749957	0.526795	0.186675	0.202531	0.0839993
108	-4211.119	-4765.784	554.6652	0.8483283	0.561844	0.0685408	0.179933	0.189682	1.36695	3.019358	0.4991956	0.427383	0.358338	0.103317	0.110961
114	-4205.137	-4759.291	554.1538	0.8483283	0.547129	0.129238	0.269983	0.0536504	1.480643	3.126283	0.7087727	0.489812	0.360392	0.0648531	0.0849428
120	-4204.169	-4758.72	554.5511	0.6590524	0.548343	0.182569	0.215319	0.0537694	1.316277	3.097985	0.7218945	0.46854	0.34474	0.126355	0.0603641
126	-4213.544	-4769.33	555.7868	0.6265578	0.614991	0.198355	0.118425	0.0682292	1.478062	2.31216	0.6425505	0.496952	0.3182	0.176617	0.00823093
132	-4207.675	-4762.802	555.1266	0.6123029	0.458553	0.269238	0.233388	0.0388211	1.457969	2.745762	0.6425505	0.409139	0.236407	0.348339	0.00611518
138	-4216.544	-4771.191	554.6472	0.7806916	0.518125	0.1056	0.332483	0.0437919	1.46819	2.887025	0.69806	0.435773	0.254453	0.297708	0.0120658
144	-4214.407	-4769.917	555.5099	0.8088899	0.675752	0.0157987	0.277485	0.0309646	1.392608	2.362117	0.7287122	0.508485	0.211908	0.269558	0.0100484
150	-4232.784	-4788.965	556.1814	0.7244496	0.662333	0.15452	0.0418241	0.141323	1.690282	1.517708	1.087078	0.689449	0.166584	0.03671	0.107257
156	-4221.384	-4777.405	556.0209	0.7480905	0.592503	0.138229	0.142846	0.126423	1.427272	1.894183	0.953512	0.668709	0.189572	0.074571	0.0671474
162	-4217.172	-4772.866	555.694	0.7480905	0.504348	0.175199	0.200305	0.120149	1.460567	2.154974	0.8568938	0.586889	0.288733	0.0654468	0.0589315
168	-4220.926	-4776.349	555.423	0.7059886	0.427747	0.313626	0.138367	0.120259	1.427762	2.41822	0.7965276	0.45064	0.311253	0.113929	0.124179
174	-4199.529	-4754.754	555.2248	0.839916	0.561369	0.187618	0.170416	0.0805977	1.419688	2.448634	0.8128698	0.547443	0.317725	0.0427808	0.0920504
180	-4210.247	-4765.849	555.6021	0.701598	0.510496	0.155698	0.245889	0.0879166	1.459858	2.266447	0.8273411	0.563052	0.326784	0.0154889	0.094675
186	-4202.435	-4758.501	556.0657	0.5263559	0.54866	0.160828	0.264272	0.0262408	1.431678	2.061883	0.8879427	0.568934	0.330198	0.0344622	0.0664053
192	-4204.509	-4760.24	555.7314	0.6165476	0.462982	0.299811	0.215064	0.022143	1.498916	2.257578	0.7657931	0.550699	0.184086	0.154252	0.110963
198	-4204.968	-4761.363	556.395	0.6761995	0.616913	0.0597728	0.262267	0.0610471	1.432202	1.97179	0.5534429	0.416557	0.436067	0.119333	0.0280441
204	-4226.061	-4782.084	556.0223	0.8190495	0.68398	0.0491472	0.114801	0.152072	1.383629	1.959197	0.8283852	0.412668	0.347183	0.196573	0.0435756
210	-4221.932	-4777.139	555.207	0.6673328	0.550483	0.213051	0.101944	0.134522	1.322657	2.851596	0.469957	0.471354	0.398568	0.126821	0.00325737
216	-4189.333	-4743.611	554.2787	0.8038794	0.504699	0.189824	0.188084	0.117392	1.28629	3.143315	0.7914212	0.550834	0.329941	0.118002	0.00122371
222	-4190.74	-4743.831	553.0914	0.9201984	0.670238	0.110731	0.156204	0.0628275	1.195314	4.012219	0.4685424	0.200037	0.647494	0.150904	0.00156492
